
Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff,PYds,PRYds
2000-09-03,Chargers,Raiders,1,11:00,4,5,SDG 20,0-0,Darren Bennett punts 63 yards returned by Darrien Gordon for -2 yards. Darrien Gordon fumbles recovered by Calvin Branch at OAK-8 (tackle by Reggie Davis),0,-2.030,0.280,2.31,63,-2
2000-09-03,49ers,Falcons,1,8:00,4,1,SFO 25,7-3,Chad Stanley punts 39 yards fair catch by Tim Dwight,,-1.700,-1.330,.37,39,
2000-09-03,49ers,Falcons,1,1:47,4,4,SFO 26,7-6,Chad Stanley punts 33 yards fair catch by Tim Dwight,,-1.630,-1.660,-0.03,33,
2000-09-03,Bills,Titans,1,13:36,4,10,BUF 14,0-0,Chris Mohr punts 56 yards returned by Derrick Mason for 10 yards (tackle by Keith Newman),,-2.470,-1.600,.87,56,10
2000-09-03,Bills,Titans,1,11:16,4,9,BUF 43,0-0,Chris Mohr punts 46 yards returned by Derrick Mason for 14 yards (tackle by Sheldon Jackson),,-0.520,-0.610,-0.09,46,14
2000-09-03,Titans,Bills,1,8:24,4,5,OTI 30,0-0,Craig Hentrich punts 35 yards fair catch by Chris Watson,,-1.370,-1.270,.10,35,
2000-09-03,Bills,Titans,1,6:12,4,6,BUF 39,0-0,Chris Mohr punts 47 yards returned by Derrick Mason for 18 yards (tackle by Sheldon Jackson),,-0.780,-1.070,-0.29,47,18
2000-09-03,Titans,Bills,1,4:19,4,1,OTI 41,0-0,Craig Hentrich punts 30 yards fair catch by Chris Watson,,-0.650,-0.870,-0.22,30,
2000-09-03,Jaguars,Browns,1,12:04,4,10,CLE 41,0-0,Steve Lindsey punts 41 yards touchback,,0.530,-0.280,-0.81,41,
2000-09-03,Browns,Jaguars,1,10:55,4,2,CLE 28,0-0,Chris Gardocki punts 66 yards returned by Reggie Barlow for 9 yards (tackle by Tyrone Rogers),,-1.500,0.220,1.72,66,9
2000-09-03,Jaguars,Browns,1,9:16,4,6,JAX 19,0-0,Steve Lindsey punts 46 yards fair catch by Dennis Northcutt,,-2.140,-1.270,.87,46,
2000-09-03,Browns,Jaguars,1,4:48,4,13,CLE 43,0-0,Chris Gardocki punts 54 yards,,-0.520,0.380,.90,54,
2000-09-03,Cowboys,Eagles,1,8:24,4,23,DAL 47,0-7,Micah Knorr punts 31 yards out of bounds,,-0.260,-0.410,-0.15,31,
2000-09-03,Eagles,Cowboys,1,5:53,4,3,DAL 41,7-0,Sean Landeta punts 41 yards touchback,,0.530,-0.280,-0.81,41,
2000-09-03,Cowboys,Eagles,1,4:56,4,7,DAL 23,0-7,Micah Knorr punts 51 yards returned by Brian Mitchell for 13 yards (tackle by Darren Hambrick),,-1.830,-1.530,.30,51,13
2000-09-03,Packers,Jets,1,11:06,4,6,NYJ 46,0-0,Josh Bidwell punts 35 yards fair catch by Dedric Ward,,0.200,0.370,.17,35,
2000-09-03,Chiefs,Colts,1,15:00,4,10,KAN 20,0-0,Todd Sauerbrun punts 52 yards returned by Payton Williams for 8 yards (tackle by Mike Maslowski),,-2.030,-1.330,.70,52,8
2000-09-03,Chiefs,Colts,1,9:11,4,2,KAN 18,0-0,Todd Sauerbrun punts 52 yards returned by Payton Williams for 17 yards (tackle by Mike Maslowski),,-2.240,-2.060,.18,52,17
2000-09-03,Chiefs,Colts,1,5:44,4,11,KAN 46,0-0,Todd Sauerbrun punts 46 yards fair catch by Payton Williams,,-0.320,0.380,.70,46,
2000-09-03,Lions,Saints,1,11:58,4,6,DET 45,0-0,John Jett punts 37 yards returned by Chad Morton for 4 yards (tackle by Lamar Campbell),,-0.390,-0.410,-0.02,37,4
2000-09-03,Saints,Lions,1,10:43,4,11,NOR 21,0-0,Toby Gowin punts 46 yards returned by Desmond Howard for 3 yards (tackle by Corey A. Harris),,-1.960,-1.330,.63,46,3
2000-09-03,Lions,Saints,1,7:45,4,1,DET 29,0-7,John Jett punts 37 yards returned by Chad Morton for 3 yards (tackle by Clint Kriewaldt),,-1.440,-1.400,.04,37,3
2000-09-03,Saints,Lions,1,4:37,4,1,NOR 46,7-0,Toby Gowin punts 54 yards touchback,,-0.320,-0.280,.04,54,
2000-09-03,Lions,Saints,1,1:23,4,12,DET 31,0-7,John Jett punts 48 yards returned by Chad Morton for 17 yards (tackle by Sedrick Irvin),,-1.310,-1.470,-0.16,48,17
2000-09-03,Buccaneers,Patriots,1,10:45,4,2,TAM 41,0-3,Mark Royals punts 48 yards returned by Troy Brown for 39 yards (tackle by Mark Royals),,-0.650,-2.260,-1.61,48,39
2000-09-03,Patriots,Buccaneers,1,10:32,4,18,TAM 42,3-0,Lee Johnson punts 32 yards fair catch by Karl Williams,,0.460,0.380,-0.08,32,
2000-09-03,Buccaneers,Patriots,1,4:19,4,12,NWE 41,0-3,Mark Royals punts 41 yards touchback,,0.530,-0.280,-0.81,41,
2000-09-03,Patriots,Buccaneers,1,4:05,4,8,TAM 43,3-0,Lee Johnson punts 43 yards touchback,,0.400,-0.280,-0.68,43,
2000-09-03,Cardinals,Giants,1,13:52,4,8,CRD 37,0-0,Scott Player punts 41 yards returned by Tiki Barber for no gain,,-0.910,-0.410,.50,41,
2000-09-03,Giants,Cardinals,1,10:59,4,7,CRD 39,0-0,Brad Maynard punts 33 yards,,0.660,0.380,-0.28,33,
2000-09-03,Cardinals,Giants,1,7:23,4,4,CRD 35,0-0,Scott Player punts 49 yards returned by Tiki Barber for 18 yards (tackle by Joel Makovicka),,-1.040,-1.200,-0.16,49,18
